6560,2473
850,5680
482,4126
239,3443
164,3095
154,2717
97,2477
97,2134
59,1932
59,1811
37,1752
37,1626
22,1552
22,1496
5,1459
5,1411
5,1365
5,1284
5,1189
5,1125
5,1087
5,1036
5,994
5,940
5,909

1425,6190
358,5456
228,4769
145,4227
43,4049
7,4027
7,3978
7,3916
7,3836
7,3786
7,3725
7,3651
7,3593
7,3527
7,3476
7,3422
7,3369
7,3321
7,3266
7,3211
7,3171
7,3116
7,3074
7,3004
7,2950
7,2895
7,2845
7,2788
7,2741
7,2702
7,2633
7,2582
7,2534
7,2469
7,2411
7,2332
7,2245
7,2193
7,2143
7,2097
7,2029
7,1956
7,1890
7,1836
7,1776
7,1735
7,1653
7,1618
7,1571
7,1521
7,1474
7,1426
7,1381
7,1331
7,1266
7,1188
7,1110
7,1051
7,987
7,907
7,869
7,815
5,768
5,740
5,676
5,619
5,577
5,537
5,476
5,422
5,382
5,323
5,278
5,206
5,149

3274,4593
638,5271
336,4272
212,3699
126,3351
122,2996
93,2633
93,2422
85,2158
70,2003
42,1891
42,1740
34,1679
34,1577
34,1427
34,1311
18,1261
18,1204
18,1142
18,1056
18,996
18,879
18,804
1,769
1,720
1,671
1,618
1384,6615
500,5655
361,4796
235,4227
159,3815
123,3477
92,3183
64,2989
41,2837
41,2704
41,2581
41,2448
41,2342
15,2239
15,2174
3,2121
3,2078
3,2026
3,1957
3,1885
3,1822
3,1775
3,1726
3,1674
3,1635
3,1607
3,1575
3,1526
2,1495
2,1419
2,1367
1,1327
1,1291
1,1240
1,1205
1,1156
1,1102
1,1044
1,985
1,933
1,878
1,828
1,791
1,747
1,717
1,654
1,614
1,576
1,531
1,489
1,418
1,371
1,314
1,272
1,230
1807,5557
488,5406
245,4708
206,4029
125,3587
91,3363
38,3215
38,3027
38,2850
38,2724
38,2624
38,2507
38,2407
38,2317
16,2258
16,2176
16,2083
16,1996
16,1938
15,1904
15,1825
15,1760
15,1689
15,1631
15,1568
15,1492
4,1459
4,1398
4,1355
4,1267
4,1226
4,1174
4,1118
4,1067
4,1014
4,977
1,941
1,882
1,843
1524,6172
539,5211
314,4409
177,3921
128,3566
88,3340
67,3144
56,2958
56,2657
56,2480
56,2294
56,2116
56,1980
23,1896
23,1836
20,1768
20,1702
11,1651
11,1585
11,1520
11,1454
11,1372
11,1315
11,1248
11,1156
11,1118
11,1057
11,957
11,893
11,818
11,746
11,690
11,650
4,592
4,541
4,498
4,432
4,389
4,350
4,301
4,234
4,176
4,122
4,66
6983,1671
737,5356
393,4246
239,3627
118,3191
75,2987
30,2906
30,2809
30,2737
28,2660
28,2595
28,2521
28,2439
25,2372
8,2340
8,2269
8,2206
8,2170
8,2092
8,2035
1,1994
1,1940
1,1879
1,1814
1,1789
1,1731
1,1690
1,1646
1,1591
1,1538
1,1492
1,1453
1096,7344
566,5779
324,4844
210,4092
152,3691
99,3465
99,3213
71,3079
54,2922
54,2796
46,2624
46,2525
